dataset,n_items,capacity,optimum,experiment,series,runs,best,mean_best,std_best,best_to_optimum_pct,mean_to_optimum_pct,runs_reaching_optimum
knapPI_1_5000_1000_1,5000,25016.0,276457.0,mutation_rate,p_m = 0.002,10,55291.0,48723.5,3461.41,20.0,17.62,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,crossover_rate,p_c = 0.5,10,116937.0,112962.2,2950.42,42.3,40.86,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,crossover_rate,p_c = 0.7,10,122829.0,113873.1,5759.08,44.43,41.19,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,crossover_rate,p_c = 0.9,10,117985.0,110715.5,4466.47,42.68,40.05,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,crossover_rate,p_c = 1,10,119462.0,114539.5,3798.78,43.21,41.43,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,selection,roulette,10,126535.0,117268.9,4172.63,45.77,42.42,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,selection,rank,10,91477.0,78410.2,7207.39,33.09,28.36,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,selection,tournament,10,169298.0,126097.3,24607.81,61.24,45.61,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,crossover,one-point,10,126535.0,117268.9,4172.63,45.77,42.42,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,crossover,two-point,10,126729.0,119993.1,5552.16,45.84,43.4,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,elitism,elitism = 0,10,102374.0,96198.1,3282.0,37.03,34.8,0
knapPI_1_5000_1000_1,5000,25016.0,276457.0,elitism,elitism = 1,10,126535.0,117268.9,4172.63,45.77,42.42,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,mutation_rate,p_m = 1e-05,10,119289.0,108912.6,5474.57,21.16,19.32,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,mutation_rate,p_m = 5e-05,10,144663.0,137422.2,6744.62,25.67,24.38,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,mutation_rate,p_m = 0.0001,10,166806.0,158347.9,7260.12,29.59,28.09,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,mutation_rate,p_m = 0.0005,10,228958.0,220424.1,7132.16,40.62,39.11,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,mutation_rate,p_m = 0.001,10,94445.0,86576.1,5028.37,16.76,15.36,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,crossover_rate,p_c = 0.5,10,176140.0,157223.3,8411.85,31.25,27.89,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,crossover_rate,p_c = 0.7,10,166193.0,157395.4,5629.17,29.49,27.92,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,crossover_rate,p_c = 0.9,10,170644.0,159181.2,7079.65,30.27,28.24,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,crossover_rate,p_c = 1,10,176334.0,164681.7,5048.91,31.28,29.22,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,selection,roulette,10,166806.0,158347.9,7260.12,29.59,28.09,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,selection,rank,10,146339.0,121221.8,12331.47,25.96,21.51,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,selection,tournament,10,287123.0,228531.0,29482.8,50.94,40.55,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,crossover,one-point,10,166806.0,158347.9,7260.12,29.59,28.09,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,crossover,two-point,10,178358.0,169280.4,6608.97,31.64,30.03,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,elitism,elitism = 0,10,149428.0,139321.0,4657.15,26.51,24.72,0
knapPI_1_10000_1000_1,10000,49877.0,563647.0,elitism,elitism = 1,10,166806.0,158347.9,7260.12,29.59,28.09,0
